Unnamed: 0,P_rated_kW,Hub_height_m,Diameter_m,Longitude,Latitude,ISO_code,Offshore,Commissioning_date,Lifetime_production_kWh,Capacity_factors,turbine_age,Cluster,park_size,Input,Assembly,Transport,Maintenance,Disposal,Total
41923,3000,131,91,9.73937,51.27007,DE,0,2017-09-01,126144000.0,0.24,7,211,21,0.015541692311082565,0.0024894751023585124,0.0017996583962861363,2.8335495287226548e-06,-7.203548778521825e-05,0.019761623871470718
41924,3000,117,91,10.2994,54.07383,DE,0,2017-09-28,85905906.4419416,0.165713554093251,7,-1,100,0.021937345085864073,0.0033736873458850582,0.0022177578629824423,4.16077644198724e-06,-0.00016343659324130229,0.027369514477932257
41925,3000,131,91,9.73307,51.27216,DE,0,2017-09-04,126144000.0,0.24,7,211,21,0.015533394347034837,0.0024889593341038715,0.0017995730725970922,2.8335495287226548e-06,-7.03560407807433e-05,0.01975440426248378
41926,3000,131,91,9.74836,51.27046,DE,0,2017-08-31,126144000.0,0.24,7,211,21,0.01555025863922309,0.0024900075510517474,0.0017996332849038877,2.8335495287226548e-06,-7.376924971190346e-05,0.019768963774995544
41927,2400,120,117,6.04555,51.02955,DE,0,2017-01-11,92447805.330909,0.222916197267816,7,212,3,0.026869771623773818,0.004818494021483525,0.00370965908446902,3.866346750707403e-06,-9.515098845628546e-05,0.035306640088020785
41928,2350,85,92,8.97142,53.95302,DE,0,2016-03-24,100769646.890417,0.248152203729358,8,213,100,0.014751224245137548,0.002218970049259375,0.0014307699706608606,3.5470529348970257e-06,-6.361664293899178e-05,0.01834089467505369
41929,3300,119,112,7.23922,50.25208,DE,0,2016-03-14,138758400.0,0.24,8,214,7,0.018416194137016322,0.0030311352316089155,0.00229589518800045,2.575954117020595e-06,-0.0001048113192037559,0.023640989191538953
41930,3300,137,126,10.66092,49.43231,DE,0,2016-10-18,138758400.0,0.24,8,215,5,0.023336773311667464,0.00403163536420114,0.003337256382122295,2.575954117020595e-06,-7.823840910868721e-05,0.030630002602999234
41931,3075,84,112,8.98446,54.44186,DE,0,2012-09-04,150085851.003182,0.282456058045735,12,216,6,0.013920167339035805,0.0022243891102200365,0.0013785750476545267,2.3815387617291953e-06,-5.364648223036741e-05,0.01747186655344173
41932,3000,121,91,8.7922,51.62242,DE,0,2018-08-24,126144000.0,0.24,6,217,51,0.014995954759863605,0.002344129732970842,0.0016586285543321517,2.8335495287226548e-06,-7.666483820182603e-05,0.018924881758493495
